steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher,estimated_revenue
351,Avernum: Escape From the Pit,April,2012,9.99,100000.0,200000.0,150000.0,Spiderweb Software,Spiderweb Software,1498500.0
352,Fight The Dragon,December,2014,9.99,100000.0,200000.0,150000.0,3 Sprockets,3 Sprockets,1498500.0
353,Driftland: The Magic Revival,April,2019,19.99,100000.0,200000.0,150000.0,Star Drifters,Star Drifters,2998499.9999999995
354,Aegis Defenders,February,2018,19.99,200000.0,500000.0,350000.0,GUTS Department,Humble Games,6996499.999999999
355,Eldest Souls,July,2021,19.99,50000.0,100000.0,75000.0,Fallen Flag Studio,"United Label, CI Games",1499249.9999999998
356,Weird West,March,2022,39.99,100000.0,200000.0,150000.0,WolfEye Studios,Devolver Digital,5998500.0
357,Neo Cab,October,2019,2.99,200000.0,500000.0,350000.0,Chance Agency,Fellow Traveller,1046500.0000000001
358,Mercenary Kings: Reloaded Edition,March,2014,19.99,200000.0,500000.0,350000.0,Tribute Games Inc.,Tribute Games Inc.,6996499.999999999
359,Might & Magic: Clash of Heroes,September,2011,9.99,200000.0,500000.0,350000.0,Capybara Games,Ubisoft,3496500.0
360,Sable,September,2021,9.99,100000.0,200000.0,150000.0,Shedworks,Raw Fury,1498500.0
361,Curious Expedition 2,January,2021,9.99,200000.0,500000.0,350000.0,Maschinen-Mensch,Thunderful Publishing,3496500.0
362,Pathologic Classic HD,October,2015,12.99,100000.0,200000.0,150000.0,"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment,1948500.0
363,Ys Origin,May,2012,19.99,200000.0,500000.0,350000.0,Nihon Falcom,XSEED Games,6996499.999999999
364,Cat Quest II,September,2019,4.49,100000.0,200000.0,150000.0,The Gentlebros,PQube,673500.0
365,Dig or Die,July,2018,11.99,200000.0,500000.0,350000.0,Gaddy Games,Gaddy Games,4196500.0
366,The Surge 2,September,2019,29.99,500000.0,1000000.0,750000.0,Deck13,Focus Entertainment,22492500.0
367,Vindictus,June,2012,0.0,1000000.0,2000000.0,1500000.0,devCAT,NEXON Korea Corp. & NEXON America Inc.,0.0
368,The Ship: Murder Party,July,2006,9.99,1000000.0,2000000.0,1500000.0,Outerlight Ltd.,Blazing Griffin,14985000.0
369,Secret World Legends,July,2017,0.0,1000000.0,2000000.0,1500000.0,Funcom,Funcom,0.0
370,WAKFU,September,2014,0.0,1000000.0,2000000.0,1500000.0,Ankama Studio,Ankama Games,0.0
371,Shadowrun Returns,July,2013,9.99,1000000.0,2000000.0,1500000.0,Harebrained Schemes,Paradox Interactive,14985000.0
372,Kingdom Come: Deliverance,February,2018,29.99,2000000.0,5000000.0,3500000.0,Warhorse Studios,"Warhorse Studios, Prime Matter",104965000.0
373,Vaporum,September,2017,19.99,50000.0,100000.0,75000.0,"Fatbot Games, s. r. o.","Fatbot Games, s. r. o.",1499249.9999999998
374,Dreamfall: The Longest Journey,April,2006,19.99,200000.0,500000.0,350000.0,Funcom,Funcom,6996499.999999999
375,Omensight: Definitive Edition,May,2018,9.99,50000.0,100000.0,75000.0,Spearhead Games,Spearhead Games,749250.0
376,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,September,2012,9.99,200000.0,500000.0,350000.0,Opus,Marvelous,3496500.0
377,Blade of Darkness,October,2021,14.99,50000.0,100000.0,75000.0,"Rebel Act Studios, Fire Falcom, General Arcade",SNEG,1124250.0
378,Rebuild 3: Gangs of Deadsville,May,2015,5.99,200000.0,500000.0,350000.0,"Northway Games, Sarah Northway",Northway Games,2096500.0
379,Captain Tsubasa: Rise of New Champions,September,2020,59.99,100000.0,200000.0,150000.0,TAMSOFT CORPORATION,BANDAI NAMCO Entertainment,8998500.0
380,Vigil: The Longest Night,October,2020,21.99,100000.0,200000.0,150000.0,Glass Heart Games,Neon Doctrine,3298499.9999999995
381,Ziggurat,October,2014,14.99,200000.0,500000.0,350000.0,Milkstone Studios,Milkstone Studios,5246500.0
